"angle","auprc_any","auprc_strong","auprc_lift_any","auprc_lift_strong","auroc_any","auroc_strong","tau_alpha_overall","tau_alpha_gene","runtime_sec","n_sig","tool","tool_label"
0,0.997591161702328,0.990214258844829,1.04747071978744,2.07944994357414,0.9535,0.990621818181818,0.866212536564222,0.979619047619048,10.6148951053619,1013,"moransi","MORANSI"
30,0.997590648179108,0.990215415622695,1.04747018058806,2.07945237280766,0.95348,0.990625454545455,0.866246011939747,0.979619047619048,2.06049275398254,1013,"moransi","MORANSI"
45,0.997592560155631,0.990231925645001,1.04747218816341,2.0794870438545,0.95352,0.990647272727273,0.866309243204627,0.98,2.16014528274536,1012,"moransi","MORANSI"
60,0.997590514335058,0.990196876728836,1.04747004005181,2.07941344113056,0.95348,0.990610909090909,0.866201378105714,0.979619047619048,2.08940505981445,1013,"moransi","MORANSI"
0,0.997804883344346,0.988618390206736,1.04769512751156,2.07609861943414,0.95738,0.989043636363636,0.862418660671418,0.982095238095238,165.384999999995,1011,"nnsvg","NNSVG"
30,0.997778856637306,0.988576108384885,1.04766779946917,2.07600982760826,0.95704,0.989032727272727,0.862571159604364,0.982666666666667,162.840000000004,1014,"nnsvg","NNSVG"
45,0.997849396509413,0.988715741984471,1.04774186633488,2.07630305816739,0.95842,0.98916,0.863992003321081,0.982666666666667,166.978000000003,1011,"nnsvg","NNSVG"
60,0.997802660184134,0.988811734523802,1.04769279319334,2.07650464249998,0.95746,0.989225454545455,0.862861279525579,0.981333333333333,170.908000000003,1010,"nnsvg","NNSVG"
0,0.998566594762723,0.996642443347655,1.04849492450086,2.09294913103007,0.97802,0.9968,0.885632469888545,0.924083799395747,3.40056848526001,931,"smash","SMASH"
30,0.998043467527462,0.997315588916714,1.04794564090384,2.0943627367251,0.97124,0.997443636363636,0.888358078275028,0.922986508268753,3.85099792480469,910,"smash","SMASH"
45,0.998259998818847,0.997315588916714,1.04817299875979,2.0943627367251,0.97062,0.997443636363636,0.886584053008733,0.919924194468827,3.84557962417603,918,"smash","SMASH"
60,0.99819030925096,0.997315588916714,1.04809982471351,2.0943627367251,0.96876,0.997443636363636,0.886026244386568,0.922436490981206,3.81833124160767,930,"smash","SMASH"
0,0.998839692082701,0.959149061144161,1.04878167668684,2.01421302840274,0.97656,0.958414545454545,0.742618730703912,0.960190476190476,0.782000000006519,886,"sparkx","SPARKX"
30,0.998065643693101,0.943343549570504,1.04796892587776,1.98102145409806,0.96108,0.943669090909091,0.710513630840878,0.944952380952381,0.68300000000454,844,"sparkx","SPARKX"
45,0.998045801882693,0.944934085283671,1.04794809197683,1.98436157909571,0.96074,0.943492727272727,0.716224347809796,0.942993571202834,1.25900000000547,858,"sparkx","SPARKX"
60,0.998136521706764,0.950136624452811,1.0480433477921,1.9952869113509,0.96258,0.951298181818182,0.727414991339353,0.952380952380953,0.67500000000291,881,"sparkx","SPARKX"
0,0.997909764790223,0.959186276673132,1.04780525302973,2.01429118101358,0.95953,0.980349090909091,0.834615915043746,0.94152380952381,25.2504854202271,1036,"spatialde","SPATIALDE"
30,0.959527838836042,0.736718248659421,1.00750423077784,1.54710832218478,0.78285,0.822378181818182,0.533532706199746,0.719619047619048,22.7520723342896,1037,"spatialde","SPATIALDE"
45,0.958487677981112,0.7399484863634,1.00641206188017,1.55389182136314,0.76556,0.822163636363636,0.532176450622787,0.72,22.1527817249298,1044,"spatialde","SPATIALDE"
60,0.959603310839587,0.72842436120716,1.00758347638157,1.52969115853504,0.79117,0.819832727272727,0.529836926391378,0.713333333333333,22.1416640281677,1025,"spatialde","SPATIALDE"
